language_name,yesterday,today,tomorrow,the day,the day before yesterday,the day after tomorrow,two days,two days before now,two days after now,four days,four days before now,four days from now,three days,three days before now,three days from now,value_yesterday,value_today,value_tomorrow,value_day_before_yesterday,value_day_after_tomorrow,time_window,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Top_Family,Subfamily,Genus,Country_ID,Family_in_Data,Subgroup,society_ID,society,Glottocode_society,society_language,region,PC1,PC2,PC3,Gathering,Hunting,Fishing,AnimalHusbandry,Agriculture,subsistence_year,...55,Population size [EA202],Population_year,Mean size of local communities [EA031],Family,Population_size
Japanese,昨日,今日,明日,その日,一昨日,明後日,2日,今から2日前,今から2日後,4日,今から4日前,今から4日後,3日,今から3日前,今から3日後,1,1,1,0.5,0.5,1,Eurasia,37,140,nucl1643,jpn,Japanese,NA,Japanese,JP,NA,NA,Ed5,Japanese,nucl1643,Japanese,Eastern Asia,-1.495517858,-1.480002005,0.666186833,0.025,0.025,0.025,0.105,0.93,NA,NA,80000000,NA,50000,Uralic,50000
Javanese,wingi,dina iki,sesuk,dina,dina sadurunge wingi,sesuk,rong dina,rong dina sadurunge saiki,rong dina sawise saiki,patang dina,patang dina sadurunge saiki,patang dina wiwit saiki,telung dina,telung dina sadurunge saiki,telung dina wiwit saiki,1,1,1,0.5,0,0.5,Papunesia,-7,111,java1254,jav,Austronesian,NA,Javanese,ID,NA,NA,Ib2,Javanese,java1254,Javanese,Malesia,-1.377167513,-0.724654495,0.480356215,0.025,0.025,0.025,0.205,0.805,1950,NA,24000,1952,5000-50000,Austronesian,27500
Jingpho,mə55ni55‧,tai31ni55‧,pʰot55ni55‧,,mə55ni55aʔ31ɕoŋ33ɕə31ni55‧,pʰot55tin31ni55‧,,,,,,,,,,1,1,1,0,0.5,0.5,Eurasia,25.41666667,97,kach1280,kac,Sino-Tibetan,Tibeto-Burman,Brahmaputran,,,,Ei5,Kachin,kach1280,Southern Jinghpaw,Indo-China,-0.116873408,-0.143273645,0.942981956,0.105,0.105,0.025,0.205,0.605,1940,,300000,1901,100-199,Sino-Tibetan,149.5
Kazakh,кеше,бүгін,ертең,күні,алдыңғы күн,ертеңгі күні,екі күн,осыдан екі күн бұрын,екі күннен кейін,төрт күн,осыдан төрт күн бұрын,төрт күннен кейін,үш күн,осыдан үш күн бұрын,үш күннен кейін,1,1,1,0,0.5,0.5,Eurasia,50,70,kaza1248,kaz,Altaic,None,Turkic,KZ,Turkic,None,Eb1,Kazakh,kaza1248,Kazakh,Middle Asia,-0.327801665,3.76347177,-0.422888255,0.025,0.105,0.025,0.805,0.105,1910,NA,NA,NA,50-99,Altaic,74.5
Kanuri,biska,ku,bali,yimdǝ,yim kawu biskayedə,yim ngawo balibe,kawu indi,kawu indi kawu kǝrma dǝro,ngawo kawu indiben,kawu diyau,kawu diyau kawu adǝro,kawu diyau fuwulan,kawu yakkǝ,kawu yakkǝ kawu adǝro,kawu yakkǝ fuwulan,1,1,1,0.5,0.5,1,Africa,12,13,cent2050,knc,Saharan,Saharan,Western Saharan,NG TD NE SD,Saharan,None,Cb19,Kanuri,cent2050,Central Kanuri,West Tropical Africa,-0.300650559,-0.363651111,0.326966792,0.105,0.025,0.105,0.205,0.605,1870,NA,750000,1952,5000-50000,Nilo-Saharan,27500
Khasi,mynnin,mynta ka sngi,lashai,ka sngi,ka sngi shuwa hynnin ka sngi,ka sngi hadien lashai,ar sngi,ar sngi shuwa mynta,ar sngi hadien mynta,saw sngi,saw sngi shuwa mynta,saw sngi naduh mynta .,lai sngi,lai sngi shuwa mynta,lai sngi naduh mynta .,1,1,1,0.5,0.5,1,Eurasia,25.5,92,khas1269,kha,Austro-Asiatic,Mon-Khmer,Khasian,·,Austroasiatic,None,Ei8,Khasi,khas1269,Khasi,Indian Subcontinent,0.366670575,-0.047902478,0.405836085,0.105,0.105,0.105,0.205,0.505,1900,NA,175000,1901,50-99,Austroasiatic,74.5
Khmer,ម្សិលមិញ,ថ្ងៃនេះ,ថ្ងៃស្អែក,ថ្ងៃ,ថ្ងៃមុនម្សិលមិញ,ថ្ងៃបន្ទាប់ថ្ងៃស្អែក,ពីរថ្ងៃ,ពីរថ្ងៃមុនឥឡូវនេះ,ពីរថ្ងៃក្រោយមក,បួនថ្ងៃ,បួនថ្ងៃមុនឥឡូវនេះ,បួនថ្ងៃចាប់ពីពេលនេះទៅ,បីថ្ងៃ,បីថ្ងៃមុនឥឡូវនេះ,បីថ្ងៃចាប់ពីពេលនេះទៅ,1,1,1,0.5,0.5,1,Eurasia,12.5,105,cent1989,khm,Austro-Asiatic,Mon-Khmer,Khmer,KH,NA,NA,Ej15,Ancient Khmer,oldk1249,Old Khmer,Indo-China,0.185429074,-0.999784662,-0.158634929,0.105,0.025,0.205,0.105,0.605,NA,NA,3500000,1950,50000,Austroasiatic,50000
Kinyarwanda,ejo,Uyu munsi,ejo,umunsi,ejobundi,umunsi ukurikira ejo,iminsi ibiri,iminsi ibiri mbere yubu,iminsi ibiri nyuma yubu,iminsi ine,iminsi ine mbere ya none,iminsi ine uhereye none,iminsi itatu,iminsi itatu mbere yubu,iminsi itatu uhereye none,0.25,1,0.25,0,0.5,0.5,Africa,-2,30,kiny1244,kin,Niger-Congo,Benue-Congo,Bantu,RW,NA,NA,Ae10,Banyaruanda,kiny1244,Kinyarwanda,West-Central Tropical Africa,-0.646172261,0.28649041,0.395539881,0.025,0.105,0.025,0.305,0.605,1910,NA,2133000,1952,100-199,Niger-Congo,149.5
Korean,어제,오늘,내일,그날,그저께,모레,이틀,이틀 전,이틀 후,4일,4일 전,4일 후,3일,3일 전,3일 후,1,1,1,1,1,2,Eurasia,37.5,128,kore1280,kor,Korean,NA,Korean,KR KP,NA,NA,Ed1,Koreans,kore1280,Korean,Eastern Asia,-0.343869779,-0.570020608,-0.706077005,0.025,0.025,0.205,0.205,0.605,NA,NA,200,1947,50000,Uralic,50000
Latin,heri,hodie,cras,dies,Pridie hesterno die,perendie,duobus diebus,duobus diebus ante nunc,duobus diebus post nunc,quatriduanus,nudiustertius,quatriduanus amodo,triduum,tribus diebus ante nunc,nunc tribus diebus,1,1,1,0.5,0,0.5,NA,41.9,12.45,lati1261,NA,Indo-European,NA,NA,NA,NA,NA,Ce3,Ancient Romans,lati1261,Latin,Southeastern Europe,-0.343869779,-0.570020608,-0.706077005,0.025,0.025,0.205,0.205,0.605,NA,NA,NA,NA,50000,Indo-European,50000
Latgale,vakardīne,šudiņ,reit,dīna .,dīna pyrms vakardīnys .,dīna piec reitdīnys .,divejis dīnys .,divejis dīnys pyrms niu .,divejis dīnys piec niu .,četrys dīnys .,četrys dīnys pyrms niu .,nu ituo četrys dīnys .,treis dīnys .,treis dīnys pyrms niu .,piec treis dīnys .,1,1,1,0.5,0.5,1,Eurasia,57,24,latv1249,lav,Indo-European,NA,Baltic,LV,lav,NA,ch21,Latvians,latv1249,Latvian,Eastern Europe,-0.893623531,-0.629283328,-0.056789657,0.025,0.025,0.105,0.205,0.705,1881,NA,1312000,1897,50000,Indo-European,50000
Lingala,lobi eleki,lelo,lobi,mokolo yango,mokolo moko liboso ya lobi,mokolo oyo elandi lobi,mikolo mibale,mikolo mibale eleki,mikolo mibale uta sikoyo,mikolo minei,mikolo minei eleki,mikolo minei uta sikoyo,mikolo misato,mikolo misato eleki,mikolo misato uta sikoyo,1,1,1,0.5,0,0.5,Africa,2,18.5,ling1263,lin,Niger-Congo,Benue-Congo,Bantu,CD,NA,NA,Ae28,Ngala,ling1263,Kinshasa Lingala,West-Central Tropical Africa,1.359284738,-0.831142805,-1.762096782,0.025,0.105,0.405,0.105,0.405,1900,NA,125000,1950,200-399,Niger-Congo,299.5
Luo,nyoro,kawuono,kiny,odiechieng',Odiechieng' motelo nyoro,Odiechieng' bang' kiny,ndalo ariyo,ndalo ariyo kapok sani,ndalo ariyo bang' sani,ndalo ang'wen,ndalo ang’wen kapok sani,ndalo ang'wen chakre sani,ndalo adek,ndalo adek kapok sani,ndalo adek chakre sani,1,1,1,0.5,0.5,1,Africa,-0.5,34.75,luok1236,luo,Eastern Sudanic,Nilotic,Western Nilotic,KE TZ,NA,NA,Aj6,Luo,luok1236,Luo (Kenya and Tanzania),East Tropical Africa,-0.226302398,-0.313534695,0.022079636,0.025,0.105,0.105,0.205,0.605,1940,NA,800000,1947,100-199,Nilo-Saharan,149.5
Luganda,jjo,leero,enkya,olunaku,olunaku olusooka eggulo,olunaku oluddirira enkya,ennaku bbiri,ennaku bbiri nga wabulayo kati,oluvannyuma lw’ennaku bbiri kati,ennaku nnya,nga wabulayo ennaku nnya kati,ennaku nnya okuva kati,ennaku ssatu,nga wabulayo ennaku ssatu kati,ennaku ssatu okuva kati,1,1,1,0,0.5,0.5,Africa,0.5,32.16666667,gand1255,lug,Niger-Congo,Benue-Congo,Bantu,UG,NA,NA,Ad7,Ganda,gand1255,Ganda,East Tropical Africa,-0.289976517,-1.008930967,0.185765263,0.025,0.105,0.105,0.105,0.705,1880,Kyaddondo district (V: Kampala),600000,1900,5000-50000,Niger-Congo,27500
Malayalam,ഇന്നലെ,ഇന്ന്,നാളെ,ദിവസം,തലേദിവസം,മറ്റന്നാൾ,രണ്ടു ദിവസം,ഇപ്പോൾ രണ്ട് ദിവസം മുമ്പ്,ഇപ്പോൾ രണ്ട് ദിവസം കഴിഞ്ഞ്,നാലു ദിവസം,ഇപ്പോൾ നാല് ദിവസം മുമ്പ്,ഇനി മുതൽ നാല് ദിവസം,മൂന്നു ദിവസം,ഇപ്പോൾ മൂന്ന് ദിവസം മുമ്പ്,ഇപ്പോൾ മുതൽ മൂന്ന് ദിവസം,1,1,1,1,1,2,Eurasia,10,76.5,mala1464,mal,Dravidian,None,Dravidian,IN,Dravidian,None,Eg6,Kerala,mala1464,Malayalam,Indian Subcontinent,-0.829949412,0.066112944,-0.220475284,0.025,0.025,0.105,0.305,0.605,1799,NA,NA,NA,50000,Dravidian,50000
Mam,ewi,jalin,nejchij,aju q´ij,aju q´ij t-xe t-xe q´ij,aju q´ij te nchi´j,kab´e q´ij,kab´e q´ij t-xe jalin,kab´e q´ij t-xe jalin,kyaje q´ij,kyaje q´ij t-xe jalin,kyaje q´ij tzul,oxe q´ij,oxe q´ij t-xe jalin,oxe q´ij tzul,1,1,1,0,0,0,North America,15,-91.83333333,mamm1241,mam,Mayan,None,Mayan,GT,NA,NA,Sa8,Mam,mamm1241,Mam,Central America,-1.495517858,-1.480002005,0.666186833,0.025,0.025,0.025,0.105,0.93,1930,NA,1000-5000,1930,1300,Mayan,1300
Maori,inanahi,i tenei ra,apopo,te ra,te ra i mua inanahi,apopo,e rua nga ra,e rua nga ra i mua i tenei wa,e rua nga ra i muri mai inaianei,e wha nga ra,e wha nga ra i mua i tenei wa,e wha nga ra mai i tenei wa,e toru nga ra,e toru nga ra i mua i tenei wa,e toru nga ra mai i tenei wa,1,1,1,0.5,0,0.5,Papunesia,-40,176,maor1246,mri,Austronesian,Eastern Malayo-Polynesian,Oceanic,NZ,Austronesian,None,Ij2,Māori,maor1246,Maori,New Zealand,2.13114991,-0.74413597,1.072579961,0.305,0.105,0.205,0.025,0.405,1820,NA,42100,1896,200-399,Austronesian,299.5
Mongolian,өчигдөр,өнөөдөр,маргааш,өдөр,өмнөх өдөр,маргааш нь,хоёр өдөр,одооноос хоёр хоногийн өмнө,хоёр хоногийн дараа,дөрвөн өдөр,одоогоос дөрөв хоногийн өмнө,одооноос дөрөв хоногийн дараа,гурван өдөр,одооноос гурван өдрийн өмнө,одооноос гурав хоногийн дараа,1,1,1,0.5,0,0.5,NA,48.324,106.289,halh1238,NA,Mongolic-Khitan,NA,NA,NA,NA,NA,Eb3,Khalka,halh1238,Halh Mongolian,Mongolia,-0.327801665,3.76347177,-0.422888255,0.025,0.105,0.025,0.805,0.105,1940,NA,NA,NA,50,Altaic,50
Miao,nag hmo,hnub no,tag kis,hnub,hnub ua ntej nag hmo,hnub tom qab tag kis,ob hnub,ob hnub ua ntej tam sim no,ob hnub tom qab tam sim no,plaub hnub,plaub hnub ua ntej tam sim no,plaub hnub txij tam sim no,peb hnub,peb hnub ua ntej tam sim no,peb hnub txij tam sim no,1,1,1,0.5,0.5,1,Eurasia,26,105,hmon1333,mww,Hmong-Mien,NA,Hmongic,CN VN,NA,NA,Ed4,Miao,horn1235,Horned Miao,China,-0.226302398,-0.313534695,0.022079636,0.025,0.105,0.105,0.205,0.605,1940,NA,2500000,1954,100-199,Sino-Tibetan,149.5
Nahuatl (Eastern Huasteca),yaljuaya,ama,mostla,tonali,tonali achtoui,mostla,ome tonali,ome tonali achtoui,ome tonali teipa,naui tonali,naui tonali achtoui,naui tonali tlen axkan,eyi tonali,eyi tonali achtoui,eyi tonali tlen axkan,1,1,1,0,0,0,North America,22,-99,huas1257,nhe nhw,Uto-Aztecan,NA,Aztecan,MX,NA,NA,NA,NA,NA,NA,NA,-0.289976517,-1.008930967,0.185765263,0.025,0.105,0.105,0.105,0.705,1520,NA,300000,1520,50000,Uto-Aztecan,50000
Ndebele (Southern) Northern Ndebele,izolo,namhlanjesi,kusasa,ilanga,ilanga langaphambilini,ilanga elilandelako,amalanga amabili,amalanga amabili ngaphambi kwanjesi,ngemva kwamalanga amabili,amalanga amane,amalanga amane ngaphambi kwanje,amalanga amane ukusuka nje,amalanga amathathu,amalanga amathathu ngaphambi kwanje,amalanga amathathu ukusuka nje,1,1,1,0,0,0,Africa,-25.33333333,29,nort2795,nde,Niger-Congo,Benue-Congo,Bantu,ZA,NA,NA,Ab9,Ndebele,nort2795,Zimbabwean Ndebele,South Tropical Africa,-0.582498142,0.981886682,0.231854253,0.025,0.105,0.025,0.405,0.505,1870,NA,300000,1948,5000-50000,Niger-Congo,27500
Sotho (Northern),maabane,lehono,gosasa,letšatši leo,letšatši pele ga maabane,letšatši la ka morago ga gosasa,matšatši a mabedi,matšatši a mabedi pele ga bjale,matšatši a mabedi ka morago ga bjale,matšatši a mane,matšatši a mane pele ga bjale,matšatši a mane go tloga bjale,matšatši a mararo,matšatši a mararo pele ga bjale,matšatši a mararo go tloga bjale,1,1,1,0.5,0.5,1,Africa,-24,29,pedi1238,nso,Niger-Congo,Benue-Congo,Bantu,ZA,NA,NA,Ab15,Pedi,tswe1238,Tswene,Southern Africa,-0.646172261,0.28649041,0.395539881,0.025,0.105,0.025,0.305,0.605,1860,NA,100000,1931,200-399,Niger-Congo,299.5
Southern Sotho,maobane,kajeno,hosane,letsatsi,letsatsi pele ho maobane,hosane ka mora hosasane,matsatsi a mabeli,matsatsi a mabeli pele ho joale,matsatsi a mabeli hamorao,matsatsi a mane,matsatsi a mane pele ho jwale,matsatsi a mane ho tloha joale,matsatsi a mararo,matsatsi a mararo pele ho jwale,matsatsi a mararo ho tloha joale,1,1,1,0.5,0,0.5,Africa,-28,27,sout2807,sot,Niger-Congo,Benue-Congo,Bantu,LS ZA,NA,NA,Ab8,Sotho,sout2807,Southern Sotho,Southern Africa,-0.053199289,0.552122627,0.779296329,0.105,0.105,0.025,0.305,0.505,1860,Basuto,900000,1953,200-399,Niger-Congo,299.5
Oriya,ଗତକାଲି,ଆଜି,ଆସନ୍ତାକାଲି,ଦିନ,ଗତକାଲି,ଆସନ୍ତାକାଲି,ଦୁଇ ଦିନ,ବର୍ତ୍ତମାନ ଦୁଇ ଦିନ ପୂର୍ବରୁ |,ଦୁଇ ଦିନ ପରେ,ଚାରି ଦିନ |,ବର୍ତ୍ତମାନ ଚାରି ଦିନ ପୂର୍ବରୁ |,ବର୍ତ୍ତମାନଠାରୁ ଚାରି ଦିନ |,ତିନି ଦିନ,ତିନି ଦିନ ପୂର୍ବରୁ,ବର୍ତ୍ତମାନଠାରୁ ତିନି ଦିନ,1,1,1,0,0,0,Eurasia,21,85,oriy1255,ory,Indo-European,None,Indic,IN,NA,NA,Eg7,Hill Bhuiya,oriy1255,Odia,Indian Subcontinent,0.366670575,-0.047902478,0.405836085,0.105,0.105,0.105,0.205,0.505,1930,with special reference to the Pauri or Hill Bhuiya,2000000,NA,50-99,Indo-European,74.5
Quechua,qayna punchaw,kunan,paqarin,p’unchaw,qayna punchaw ñawpaq punchaw,paqarin punchawmanta qipa punchaw,iskay punchaw,iskay punchaw ñawpaqtaraq,kunanmanta iskay punchawmanta,tawa punchaw,tawa punchaw ñawpaqtaraq,tawa punchawmanta,kimsa punchaw,kimsa punchaw ñawpaqtaraqmi,kimsa punchawmanta,1,1,1,0,0.5,0.5,South America,-8.5,-77.5,chiq1249,qxa,Quechuan,NA,Quechuan,PE,NA,NA,Sf1,Inca,cusc1236,Cusco Quechua,Western South America,-0.70984638,-0.408905862,0.559225508,0.025,0.105,0.025,0.205,0.705,1530,NA,1500000,1571,5000-50000,Quechuan,27500
Bemba,mailo,ilelo,mailo,ubushiku,ubushiku bwakonkelepo,ubushiku bwakonkelepo,inshiku shibili,inshiku shibili ilyo nomba,inshiku shibili panuma ya nomba,inshiku shine,inshiku shine ilyo nomba,inshiku shine ukufuma nomba,inshiku shitatu,inshiku shitatu ilyo nomba,inshiku shitatu ukufuma nomba,1,1,1,0,0,0,Africa,-10,28.25,bemb1257,bem,Niger-Congo,Benue-Congo,Bantu,CD,NA,NA,Ac3,Bemba,town1238,Town Bemba,South Tropical Africa,0.208316179,-1.347576758,0.718186207,0.105,0.105,0.105,0.025,0.705,1900,Zambia branch,100000,1930,100-199,Niger-Congo,149.5
Panjabi (Gurmukhi),ਕੱਲ੍ਹ,ਅੱਜ,ਕੱਲ੍ਹ,ਦਿਨ,ਕੱਲ੍ਹ ਤੋਂ ਇੱਕ ਦਿਨ ਪਹਿਲਾਂ,ਪਰਸੋਂ,ਦੋ ਦਿਨ,ਹੁਣ ਤੋਂ ਦੋ ਦਿਨ ਪਹਿਲਾਂ,ਹੁਣ ਦੋ ਦਿਨ ਬਾਅਦ,ਚਾਰ ਦਿਨ,ਹੁਣ ਤੋਂ ਚਾਰ ਦਿਨ ਪਹਿਲਾਂ,ਹੁਣ ਤੋਂ ਚਾਰ ਦਿਨ,ਤਿੰਨ ਦਿਨ,ਹੁਣ ਤੋਂ ਤਿੰਨ ਦਿਨ ਪਹਿਲਾਂ,ਹੁਣ ਤੋਂ ਤਿੰਨ ਦਿਨ,0.25,1,0.25,0.5,0,0.5,Eurasia,31,74,panj1256,pan,Indo-European,NA,Indic,PK IN,NA,NA,Ea13,Punjabi,west2386,Western Panjabi,Indian Subcontinent,-1.377167513,-0.724654495,0.480356215,0.025,0.025,0.025,0.205,0.805,1950,Mohla Village,300,1950,50000,Indo-European,50000
Sami,ikte,otne,ihttin,beaivvi,ovddit beaivvi,ihttin,guokte beaivvi,guokte beaivvi ovdal dál,guokte beaivvi maŋŋel dál,njeallje beaivvi,njeallje beaivvi ovdal dál,njeallje beaivvi geahčen,golbma beaivvi,golbma beaivvi ovdal dál,golbma beaivvi geahčen,1,1,1,0,0,0,Eurasia,64.66666667,16.75,sout2674,sma,Uralic,Finno-Ugric,Saami,SE,NA,NA,Cg4,Sami,nort2671,North Saami,Northern Europe,1.31388204,2.814086677,-1.143502621,0.025,0.205,0.205,0.605,0.025,1950,Konkama District,200,1951,50,Uralic,50
Samoan,ananafi,aso nei,taeao,le aso,o le aso ua mavae ananafi,o le aso a taeao,lua aso,lua aso ua mavae atu nei,lua aso mulimuli ane nei,fa aso,e fa aso i luma atu o le taimi nei,e fa aso mai le taimi nei,aso e tolu,tolu aso a'o lumana'i nei,tolu aso mai le taimi nei,1,1,1,0.5,0.5,1,Papunesia,-13.91666667,-171.8333333,samo1305,smo,Austronesian,Eastern Malayo-Polynesian,Oceanic,AS WS,NA,NA,Ii1,American Samoans,samo1305,Samoan,Southwestern Pacific,0.142209853,-1.206154159,-1.191678726,0.025,0.025,0.305,0.105,0.605,1920,with special reference to American Samoa,45000,1926,50-99,Austronesian,74.5
Shona,nezuro,nhasi,mangwana,zuva,zuva rakapfuura nezuro,kuswera mangwana,mazuva maviri,mazuva maviri zvisati zvaitika,mazuva maviri gare gare,mazuva mana,mazuva mana zvisati zvaitika,mazuva mana kubva zvino,mazuva matatu,mazuva matatu zvisati zvaitika,mazuva matatu kubva zvino,1,1,1,0.5,0.5,1,Africa,-18,31,shon1251,sna,Niger-Congo,Benue-Congo,Bantu,ZW,NA,NA,Ab18,Shona,shon1251,Shona,South Tropical Africa,0.366670575,-0.047902478,0.405836085,0.105,0.105,0.105,0.205,0.505,1920,with special reference to the Zezuru,700000,1931,100-199,Niger-Congo,149.5
Sindhi,ڪالهه,اڄ,سڀاڻي,ڏينهن,ڪالهه کان اڳ ڏينهن,سڀاڻي کان پوء,ٻه ڏينهن,اڄ کان ٻه ڏينهن اڳ,ٻن ڏينهن کان پوءِ,چار ڏينهن,اڄ کان چار ڏينهن اڳ,هينئر کان چار ڏينهن,ٽي ڏينهن,اڄ کان ٽي ڏينهن اڳ,هينئر کان ٽي ڏينهن,1,1,1,0.5,0,0.5,Eurasia,26,69,sind1272,snd,Indo-European,None,Indic,PK IN,NA,NA,Ea1,Sindhi,sind1272,Sindhi,Indian Subcontinent,-0.28019566,0.125375664,-0.869762632,0.025,0.025,0.205,0.305,0.505,1950,NA,9500000,1961,50000,Indo-European,50000
Somali,shalay,maanta,berrito,maalinta,maalin ka hor shalay,beri ka dib,laba maalmood,laba maalmood ka hor hadda,laba maalmood ka dib hadda,afar maalmood,afar maalmood ka hor hadda,afar maalmood ka dib,saddex maalmood,saddex maalmood ka hor hadda,saddex maalmood ka dib,1,1,1,0.5,0,0.5,Africa,3,45,soma1255,som,Afro-Asiatic,Cushitic,Lowland East Cushitic,SO,NA,NA,Ca2,Somali (Dolbahanta),nort3051,Northern Somali,Northeast Tropical Africa,-0.970206376,4.257017239,-0.684219591,0.025,0.025,0.025,0.93,0.105,1950,NA,NA,NA,50,Afro-Asiatic,50
Steppe Mari,кечээ,Таче,эрла,кече,теҥгече ончычсо кече,эрласе кече,кок кече кок кече,ынде кок кече ончыч,ынде кок кече гыч,куд кече,ынде куд кече ончыч,ынде куд кече гыч,кум кече,ынде кум кече ончыч,ынде кум кече гыч,1,1,1,0.5,0,0.5,Eurasia,57,48,east2328,mhr,Uralic,Finno-Ugric,Mari,RU,NA,NA,Ch4,Mari,east2328,Eastern Mari,Eastern Europe,-0.28019566,0.125375664,-0.869762632,0.025,0.025,0.205,0.305,0.505,1900,NA,400000,1941,400-1000,Uralic,700
Tamil,நேற்று,இன்று,நாளை,நாள்,நேற்று முன் தினம்,நாளை மறுநாள்,இரண்டு நாட்கள்,இப்போது இரண்டு நாட்களுக்கு முன்பு,இப்போது இரண்டு நாட்களுக்குப் பிறகு,நான்கு நாட்கள்,இப்போது நான்கு நாட்களுக்கு முன்பு,இன்றிலிருந்து நான்கு நாட்கள்,மூன்று நாட்கள்,இப்போது மூன்று நாட்களுக்கு முன்பு,இப்போதிலிருந்து மூன்று நாட்கள்,1,1,1,0.5,0,0.5,Eurasia,11,78.5,tami1289,tam,Dravidian,None,Dravidian,IN LK,Dravidian,None,NA,Tamil,tami1289,Tamil,Indian Subcontinent,-0.343869779,-0.570020608,-0.706077005,0.025,0.025,0.205,0.205,0.605,1880,NA,3000000,NA,50000,Dravidian,50000
Tatar,Кичә,Бүген,иртәгә,көн,кичә,иртәгәдән икенче көн,ике көн,ике көн элек,ике көннән соң,дүрт көн,дүрт көн элек,дүрт көн,өч көн,өч көн элек,өч көннән,1,1,1,0,0.5,0.5,Eurasia,56,49.5,tata1255,tat,Altaic,None,Turkic,RU,Turkic,None,ch20,Kazan tatar,midd1325,Central Tatar,Eastern Europe,-1.249819275,0.666138049,0.152984961,0.025,0.025,0.025,0.405,0.605,1910,NA,675419,1897,50000,Altaic,50000
Tiv,nyen,nyian,Kpee,iyange la .,iyange i nyian,iyange i kper la,ayange ahar,ayange ahar cii man shighe ne ye .,ayange nga kar ahar yô,ayange anyiin .,ayange anyiin cii man shighe ne ye .,ayange anyiin ken hemen .,ayange atar .,ayange atar cii man shighe ne ye .,ayange atar ken hemen .,1,0.25,0.25,0.5,0,0.5,Africa,7.5,9,tivv1240,tiv,Niger-Congo,Benue-Congo,Tivoid,NG,Atlantic-Congo,None,Ah3,Tiv,tivv1240,Tiv,West Tropical Africa,1.082471646,-0.408564196,0.690253319,0.105,0.205,0.105,0.105,0.505,NA,NA,530000,NA,200-399,Niger-Congo,299.5
Tigrinya,ትማሊ,ሎምዓንቲ,ፅባሕ,እታ መዓልቲ,ቅድሚ ትማሊ ዝነበረ መዓልቲ,ድሕሪ ጽባሕ ዝመጽእ መዓልቲ,ክልተ መዓልቲ,ክልተ መዓልቲ ቅድሚ ሕጂ,ድሕሪ ክልተ መዓልቲ ሕጂ,ኣርባዕተ መዓልቲ,ቅድሚ ሕጂ ኣርባዕተ መዓልቲ,ድሕሪ ኣርባዕተ መዓልቲ,ሰለስተ መዓልቲ,ቅድሚ ሰለስተ መዓልቲ,ድሕሪ ሰለስተ መዓልቲ,1,1,1,0.5,0.5,1,Africa,14.5,38.5,tigr1271,tir,Afro-Asiatic,None,Semitic,ET ER,NA,NA,Ca3,Tigrinya,tigr1271,Tigrinya,Northeast Tropical Africa,-1.313493394,-0.029258223,0.316670588,0.025,0.025,0.025,0.305,0.705,1950,NA,1000000,NA,5000-50000,Afro-Asiatic,27500
Telugu,నిన్న,నేడు,రేపు,రోజు,నిన్నటికి ముందు రోజు,రేపు మరుసటి రోజు,రెండు రోజులు,ఇప్పుడు రెండు రోజుల ముందు,ఇప్పుడు రెండు రోజుల తర్వాత,నాలుగు రోజులు,ఇప్పుడు నాలుగు రోజుల ముందు,ఇప్పటి నుండి నాలుగు రోజులు,మూడు రోజులు,ఇప్పుడు మూడు రోజుల ముందు,ఇప్పటి నుండి మూడు రోజులు,1,1,1,0.5,0,0.5,Eurasia,16,79,telu1262,tel,Dravidian,None,Dravidian,IN,Dravidian,None,NA,Telugu,telu1262,Telugu,Indian Subcontinent,-1.313493394,-0.029258223,0.316670588,0.025,0.025,0.025,0.305,0.705,1950,NA,2500,1951,50000,Dravidian,50000
Thai,เมื่อวาน,วันนี้,พรุ่งนี้,วันนั้น,วันก่อนวานนี้,วันมะรืนนี้,สองวัน,สองวันก่อนนี้,สองวันหลังจากนั้น,สี่วัน,สี่วันก่อนนี้,สี่วันจากตอนนี้,สามวัน,สามวันก่อนนี้,สามวันจากตอนนี้,1,1,1,1,1,2,Eurasia,16,101,thai1261,tha,Tai-Kadai,None,Kam-Tai,TH,Tai-Kadai,None,Ej9,Thai,thai1261,Thai,Indo-China,-0.95729765,-1.3246796,0.106895971,0.025,0.025,0.105,0.105,0.805,1940,NA,10000000,1940,1000-5000,Sino-Tibetan,3000
Turkish,dün,bugün,yarın,gün,dünden önceki gün,yarından sonraki gün,iki gün,şimdiden iki gün önce,şimdiden iki gün sonra,dört gün,şimdiden dört gün önce,şimdiden dört gün sonra,üç gün,şimdiden üç gün önce,şimdiden üç gün sonra,1,1,1,0.5,0.5,1,Eurasia,39,35,nucl1301,tur,Altaic,None,Turkic,TR,Turkic,None,Ci5,Turks,nucl1301,Turkish,Western Asia,-1.07808678,0.749909778,0.218804572,0.05,0.05,0.05,0.45,0.65,1950,NA,NA,NA,50000,Altaic,50000
